Date,Open,High,Low,Close,Volume,Adj Close
2010-10-01,286.149994,286.57999,281.349991,282.52000400000003,112035700,37.579782
2010-10-04,281.60001,282.900013,277.769989,278.639996,108825500,37.063677
2010-10-05,281.999992,289.449989,281.81998799999997,288.939991,125491800,38.433745
2010-10-06,289.589993,291.98999399999997,285.259987,289.19001000000003,167717200,38.467001
2010-10-07,290.339996,290.48,286.910011,289.21999700000003,102099900,38.47099
2010-10-08,291.709988,294.500011,289.999989,294.06998799999997,164600800,39.116118
2010-10-11,294.73999,297.23999399999997,294.599987,295.360004,106938300,39.287712
2010-10-12,295.409992,299.499992,292.490005,298.539997,139636000,39.710703
2010-10-13,300.200008,301.959995,299.799999,300.14000699999997,157523100,39.92353
2010-10-14,301.690002,302.469994,300.400013,302.30998999999997,108824100,40.212173
2010-10-15,307.43998700000003,315.0,304.909996,314.73999399999997,230548500,41.865567
2010-10-18,318.470013,319.000011,314.289997,317.999989,273252700,42.2992
2010-10-19,303.40000200000003,313.770012,300.02000400000003,309.48999399999997,308196000,41.167231
2010-10-20,308.999996,314.249996,306.86998700000004,310.529991,180406100,41.305568
2010-10-21,312.35999300000003,314.73999399999997,306.799999,309.520008,137865000,41.171224
2010-10-22,309.07001099999997,310.03999300000004,306.299988,307.47000099999997,93194500,40.898539
2010-10-25,309.090012,311.600002,308.44001000000003,308.839993,98115500,41.080771
2010-10-26,306.86998700000004,309.740013,305.650013,308.049988,98232400,40.975687
2010-10-27,307.65000499999996,309.89999,305.59999799999997,307.83000899999996,99750700,40.946426
2010-10-28,307.950012,308.0,300.899998,305.23999,137762800,40.601911
2010-10-29,304.230007,305.880005,300.87001000000004,300.98,107627800,40.035263
2010-11-01,302.22000099999997,305.59999799999997,302.200001,304.179993,105972300,40.460914
2010-11-02,307.000004,310.19001000000003,307.000004,309.360004,108482500,41.149941
2010-11-03,311.37001000000004,312.880005,308.52999900000003,312.800003,127087100,41.607517
2010-11-04,315.449997,320.18001200000003,315.029987,318.270008,160622000,42.335117
2010-11-05,317.990002,319.57001099999997,316.75,317.130009,90313300,42.183478
2010-11-08,317.199997,319.769989,316.759987,318.620003,70439600,42.381671999999995
2010-11-09,321.049992,321.300011,314.499989,316.079998,95886000,42.04381
2010-11-10,316.64001099999996,318.769993,313.550007,318.03000299999997,96056800,42.303191999999996
2010-11-11,315.0,318.399998,314.249996,316.649998,90321000,42.119628999999996
2010-11-12,315.999996,316.500008,303.629993,308.029987,198961700,40.973027
2010-11-15,308.460011,310.540005,306.27,307.040005,100901500,40.841343
2010-11-16,305.72000099999997,307.599991,299.31998799999997,301.59,164412500,40.116403000000005
2010-11-17,301.200005,303.990002,297.76000600000003,300.499989,119862400,39.971414
2010-11-18,305.199989,309.669998,304.689991,308.429996,123622800,41.026234
2010-11-19,307.970013,308.400009,305.23999,306.730011,96210800,40.800108
2010-11-22,306.679996,313.35998900000004,305.869991,313.35998900000004,98268800,41.682004
2010-11-23,310.449989,311.749992,306.559994,308.73000299999995,129861900,41.066140000000004
2010-11-24,312.000011,315.400009,311.749992,314.799995,103431300,41.873548
2010-11-26,313.739998,317.700008,312.940006,315.0,59396400,41.900152
2010-11-29,315.500011,317.48000299999995,311.379997,316.870003,111446300,42.148893
2010-11-30,313.53999300000004,314.360012,310.869999,311.15000499999996,125464500,41.388040000000004
2010-12-01,315.269993,317.749996,315.0,316.40000499999996,115437700,42.086376
2010-12-02,317.529991,319.000011,314.89001099999996,318.15000499999996,115709300,42.319154
2010-12-03,317.01000600000003,318.64999,316.340004,317.440002,85523200,42.224713
2010-12-06,318.640003,322.329994,318.419998,320.149998,112120400,42.585186
2010-12-07,323.799988,323.990005,318.119991,318.21000699999996,97863500,42.327135999999996
2010-12-08,319.63001299999996,321.02000400000003,317.110008,321.009991,80483900,42.699579
2010-12-09,322.12998999999996,322.500011,319.020012,319.760002,73537800,42.53331
2010-12-10,319.650013,321.049992,318.600002,320.559994,65627800,42.639722
2010-12-13,324.36998700000004,325.05998999999997,321.000004,321.670006,109953900,42.787372
2010-12-14,321.730007,322.540012,319.000011,320.29000099999996,87752000,42.603809000000005
2010-12-15,320.000008,322.999996,319.190002,320.35998900000004,104328000,42.613118
2010-12-16,321.089993,322.61000099999995,320.10001,321.249996,80507700,42.731504
2010-12-17,321.630005,321.790009,320.23,320.610008,96732300,42.646375
2010-12-20,321.599991,323.249989,318.230007,322.209991,96402600,42.859199
2010-12-21,322.999996,324.389988,322.049988,324.199997,64088500,43.123902
2010-12-22,324.36000099999995,325.72000499999996,323.549995,325.159992,66480400,43.251597
2010-12-23,324.999989,325.15000499999996,323.169987,323.60001,55789300,43.044094
2010-12-27,322.850006,325.439999,321.519989,324.680008,62454000,43.187752
2010-12-28,325.909996,326.66,325.05998999999997,325.470013,43981000,43.292835
2010-12-29,326.21999,326.450008,325.099991,325.290009,40784800,43.268892
2010-12-30,325.48,325.509987,323.050011,323.660011,39373600,43.052075
2010-12-31,322.950008,323.480007,321.309998,322.56001299999997,48377000,42.905758
2011-01-03,325.640003,330.260002,324.840012,329.57,111284600,43.838201
2011-01-04,332.439999,332.5,328.149994,331.290012,77270200,44.066990000000004
2011-01-05,329.549999,334.339989,329.500011,334.000008,63879900,44.427464
2011-01-06,334.71999700000003,335.249996,332.900009,333.729988,75107200,44.391546999999996
