Date,AAPL,IBM,MON,MSFT,XOM
2010-01-04,28.466829999999998,116.56461000000002,75.40241400000001,26.593965999999998,58.703695999999994
2010-01-05,28.516046000000003,115.15651399999999,77.06536700000001,26.602557,58.932905000000005
2010-01-06,28.062459999999998,114.40845300000001,78.212214,26.439299,59.442264
2010-01-07,28.010584,114.012427,77.93117099999999,26.164338,59.255504
2010-01-08,28.196808,115.15651399999999,78.556726,26.344781,59.017796999999995
2010-01-11,27.948066999999998,113.95081599999999,77.069906,26.009671,59.67997
2010-01-12,27.630158,114.857281,75.528685,25.83782,59.382839000000004
2010-01-13,28.019896000000003,114.61086399999999,76.10890699999999,26.078412,59.145139
2010-01-14,27.857615999999997,116.441401,75.05725699999999,26.602557,59.15363000000001
2010-01-15,27.392058000000002,115.97496799999999,73.579504,26.516632,58.669738
2010-01-19,28.603837,118.05192199999999,74.11439399999999,26.722853999999998,58.805564000000004
2010-01-20,28.163553000000004,114.628469,73.81521500000001,26.284633000000003,57.752889
2010-01-21,27.676713,113.52838799999999,72.364659,25.786265,56.62380699999999
2010-01-22,26.303984000000003,110.44816000000002,70.614925,24.884045,56.114449
2010-01-25,27.011632000000002,110.993803,70.623993,25.193378,55.902216
2010-01-26,27.393389000000003,110.668177,70.605857,25.348044,55.961641
2010-01-27,27.651441,111.17861599999999,70.542395,25.494118,55.639049
2010-01-28,26.508829,108.908047,70.116293,25.055897,55.146666
2010-01-29,25.547122,107.71115800000001,68.792661,24.213827,54.696732999999995
2010-02-01,25.902275,109.71770500000001,70.089096,24.411455,56.182365000000004
2010-02-02,26.052583,110.47456100000001,70.061899,24.454417000000003,56.844531999999994
2010-02-03,26.500847999999998,110.588974,70.297617,24.600491,56.538915
2010-02-04,25.545792000000002,108.247998,68.430027,23.92168,54.942924
2010-02-05,25.999377,108.705629,69.57233599999999,24.076346,55.01084
2010-02-08,25.821135,107.742071,67.278644,23.818568,54.985206000000005
2010-02-09,26.09648,108.917794,68.647609,24.067753,55.711505
2010-02-10,25.954152,108.56419199999999,68.511617,24.050568,55.412441
2010-02-11,26.426359,109.377478,68.68387299999999,24.162272,55.745684
2010-02-12,26.653817,109.616156,68.73826700000001,23.999013,55.369721
2010-02-16,27.055526,110.70348,70.07096700000001,24.473814,56.634335
2010-02-17,26.942463,111.67588,70.80530999999999,24.680999999999997,56.190013
2010-02-18,26.993009000000004,112.98419799999999,70.56053100000001,25.009043,56.360904000000005
2010-02-19,26.825408000000003,112.436122,70.48800200000001,24.836389,56.28400500000001
2010-02-22,26.659137,112.135558,69.61766800000001,24.801858,55.882403000000004
2010-02-23,26.212203,111.790798,68.810796,24.456548,55.489346999999995
2010-02-24,26.691062,112.789717,67.124523,24.715529999999998,56.010575
2010-02-25,26.869304999999997,112.33003899999999,64.53165200000001,24.689632999999997,55.660238
2010-02-26,27.217806,112.409603,64.05115699999999,24.750062,55.540613
2010-03-01,27.799089000000002,113.656048,64.586046,25.052208,55.882403000000004
2010-03-02,27.780465999999997,112.63943799999998,65.066542,24.568773,55.959302
2010-03-03,27.844314,112.162077,66.40831,24.568773,55.908035999999996
2010-03-04,28.027877,112.02063999999999,67.22425,24.715529999999998,55.882403000000004
2010-03-05,29.123932,112.48916000000001,65.728362,24.680999999999997,56.796686
2010-03-08,29.141222999999997,111.746602,65.29319100000001,24.715529999999998,56.805232999999994
2010-03-09,29.665308000000003,110.98636,64.622311,24.862285999999997,57.061569999999996
2010-03-10,29.907396999999996,111.04823999999999,64.468191,25.009043,57.437540000000006
2010-03-11,29.995189,112.79855900000001,64.92149,25.190331,57.437540000000006
2010-03-12,30.141507,113.09912299999999,65.592371,25.268026000000003,57.078663
2010-03-15,29.774380999999998,113.00188200000001,65.12094300000001,25.285292000000002,56.651428
2010-03-16,29.855521000000003,113.74444,65.347592,25.354354,56.88213199999999
2010-03-17,29.811626,112.940002,65.51078000000001,25.578804,57.557165000000005
2010-03-18,29.882125,113.48808500000001,65.30225899999999,25.561539,57.582798
2010-03-19,29.562884999999998,112.895799,65.456379,25.544273999999998,57.283733999999995
2010-03-22,29.895427,113.13448400000001,65.882482,25.552907,57.223921999999995
2010-03-23,30.375614000000002,114.363238,66.14539599999999,25.794622,57.206829000000006
2010-03-24,30.509961999999998,113.62068000000001,66.281387,25.59607,56.82231899999999
2010-03-25,30.148156,114.248327,64.595114,25.906848999999998,56.651428
2010-03-26,30.713476,114.265997,64.45912299999999,25.604703,56.856499
2010-03-29,30.91167,113.673718,64.42285799999999,25.544273999999998,57.505899
2010-03-30,31.371906,113.83284499999999,64.740173,25.699663,57.292281
2010-03-31,31.258845,113.37316100000001,64.749234,25.285292000000002,57.232468000000004
2010-04-01,31.387869,113.37316100000001,64.214344,25.173066,57.770782999999994
2010-04-05,31.723071,114.345568,63.860772,25.268026000000003,58.266377
2010-04-06,31.862739,113.974275,63.28055,25.311189000000002,58.01858000000001
2010-04-07,32.003735999999996,113.576477,61.965515,25.337088,57.540071999999995
2010-04-08,31.917275,112.807401,62.666259,25.829154,57.9844
2010-04-09,32.162024,113.82399699999999,62.657157,26.191729000000002,58.753426
2010-04-12,32.228534,113.470402,62.793666,26.174463,58.710699
2010-04-13,32.247156,114.06268100000001,61.6561,26.286690000000004,58.66798000000001
2010-04-14,32.680789000000004,116.02516499999999,59.817795999999994,26.6061,58.625254000000005
2010-04-15,33.110433,115.706924,59.726785,26.649265000000003,58.326190000000004
2010-04-16,32.908246999999996,115.477088,58.907742000000006,26.476609000000003,58.044213
